plant	deficiency	light	date	time	NL	H	Fv.Fm	RMR	LMR	SMR	TDM	RAD	RLR	Chl_a	Chl_b	Chl_a.b	Chl_total
25SN	(-) N	Low	2018-10-04	3	6	7.4	0.778										
26SN	(-) N	Low	2018-10-04	3	5	5.2	0.770										
27SN	(-) N	Low	2018-10-04	3	4	5.5	0.783										
28SN	(-) N	Low	2018-10-04	3	5	6	0.754										
29SN	(-) N	Low	2018-10-04	3	8	7.5	0.745										
30SN	(-) N	Low	2018-10-04	3	4	6.1	0.769										
31SN	(-) N	Low	2018-10-04	3	4	5.5	0.761										
32SN	(-) N	Low	2018-10-04	3	6	6.6	0.738										
33SN	(-) N	Low	2018-10-04	3	4	5.5	0.766										
34SN	(-) N	Low	2018-10-04	3	5	6.5	0.701										
35SN	(-) N	Low	2018-10-04	3	7	8	0.762										
36SN	(-) N	Low	2018-10-04	3	5	6.1	0.645										
37SN	(-) N	Low	2018-10-04	3	5	6.5	0.779										
38SN	(-) N	Low	2018-10-04	3	4	4.3	0.790										
39SN	(-) N	Low	2018-10-04	3	5	5.5	0.779										
40SN	(-) N	Low	2018-10-04	3	5	6.4	0.789										
21N	(-) N	Low	2018-10-11	4	6	7.5	0.639	0.347	0.482	0.171	0.362	2.202	0.719				
22N	(-) N	Low	2018-10-11	4	6	8.3	0.685	0.318	0.510	0.172	0.310	2.009	0.624				
23N	(-) N	Low	2018-10-11	4	7	8.5	0.673	0.329	0.434	0.237	0.328	1.530	0.758				
24N	(-) N	Low	2018-10-11	4	6	8.1	0.749	0.337	0.485	0.178	0.353	2.063	0.694				
25N	(-) N	Low	2018-10-11	4	7	7.5	0.773	0.399	0.394	0.207	0.342	2.058	1.013				
26N	(-) N	Low	2018-10-11	4	5	5.9	0.640	0.355	0.480	0.165	0.219	2.260	0.740				
27N	(-) N	Low	2018-10-11	4	5	6	0.740	0.443	0.407	0.150	0.342	3.087	1.087				
28N	(-) N	Low	2018-10-11	4	4	6.2	0.569	0.424	0.377	0.199	0.284	2.238	1.123				
29N	(-) N	Low	2018-10-11	4	8	8	0.747	0.276	0.515	0.209	0.537	1.599	0.535				
30N	(-) N	Low	2018-10-11	4													
31N	(-) N	Low	2018-10-11	4	5	5.9	0.667	0.350	0.493	0.157	0.229	2.341	0.710				
32N	(-) N	Low	2018-10-11	4	4	7.8	0.765										
33N	(-) N	Low	2018-10-11	4	5	6	0.662	0.398	0.441	0.161	0.310	2.613	0.901				
